fpr,tpr,threshold
0.0,0.0,inf
0.001,0.0,0.45388950701880054
0.004,0.0,0.28886665768957714
0.006,0.0,0.28770130190413823
0.016,0.21428571428571427,0.1814124706021997
0.018,0.21428571428571427,0.14095130563545943
0.02,0.21428571428571427,0.08547542941383195
0.022,0.21428571428571427,0.06433187767195879
0.03,0.2857142857142857,0.06270833871401953
0.039,0.2857142857142857,0.014366190348373125
0.039,0.35714285714285715,0.014133907110737488
0.046,0.35714285714285715,0.007679600893622011
0.048,0.35714285714285715,0.007191267841456438
0.056,0.35714285714285715,0.003739096023773774
0.058,0.35714285714285715,0.003621858303024025
0.072,0.35714285714285715,0.0013686312211995235
0.074,0.35714285714285715,0.001338043822770988
0.081,0.35714285714285715,0.0010813194354407471
0.081,0.42857142857142855,0.001029599433993914
0.088,0.42857142857142855,0.0007324093908592089
0.09,0.42857142857142855,0.0007212721810339222
0.108,0.42857142857142855,0.00037448601239525994
0.11,0.42857142857142855,0.0003584355282431518
0.145,0.42857142857142855,0.00020739176347876062
0.145,0.5,0.00020720121261161832
0.156,0.5,0.00016220179505205729
0.156,0.5714285714285714,0.00015949518568827157
0.178,0.5714285714285714,9.816768866820438e-05
0.18,0.5714285714285714,9.646359099354866e-05
0.226,0.5714285714285714,5.971687960314617e-05
0.228,0.5714285714285714,5.772944965599238e-05
0.231,0.5714285714285714,5.6176555626214125e-05
0.231,0.6428571428571429,5.5954708593333566e-05
0.385,0.6428571428571429,1.4837834950231057e-05
0.385,0.7142857142857143,1.4644318242867652e-05
0.404,0.7142857142857143,1.308916509631006e-05
0.407,0.7142857142857143,1.3078725302645864e-05
0.497,0.7142857142857143,9.542020562757473e-06
0.503,0.7142857142857143,9.49537522129048e-06
0.515,0.7142857142857143,9.103714257747517e-06
0.515,0.7857142857142857,9.052350640163471e-06
0.52,0.7857142857142857,8.878988237324083e-06
0.522,0.7857142857142857,8.866180744927281e-06
0.544,0.7857142857142857,8.037317529172805e-06
0.547,0.7857142857142857,8.003296326831473e-06
0.567,0.7857142857142857,7.6182297401150636e-06
0.567,0.8571428571428571,7.601554112184862e-06
0.693,0.8571428571428571,4.308408972641539e-06
0.697,0.8571428571428571,4.1785198685777954e-06
0.882,0.8571428571428571,1.5836835218115806e-06
0.882,0.9285714285714286,1.5670724000253176e-06
0.888,0.9285714285714286,1.4649503971104234e-06
0.89,0.9285714285714286,1.4313652175095658e-06
0.891,0.9285714285714286,1.428550753834329e-06
0.891,1.0,1.4263150627963107e-06
0.927,1.0,1.149212928032992e-06
0.929,1.0,1.1447037109639283e-06
1.0,1.0,4.461997701637129e-07
