name,pr_auc,roc_auc,f1,precision,recall
logistic_regression,0.10933829035564122,0.7785714285714285,0.0,0.0,0.0
random_forest,0.06684100514103747,0.7703214285714286,0.0,0.0,0.0
gradient_boosting,0.07459873206380317,0.8065357142857144,0.0,0.0,0.0
hist_gradient_boosting,0.07165824388297445,0.7177857142857142,0.0,0.0,0.0
