predictor,column,n,coverage,solo_pr_auc,solo_roc_auc,solo_pr_auc_ci_low,solo_pr_auc_ci_high,ensemble_pr_auc_on_same_subset,ensemble_roc_auc_on_same_subset,pr_auc_diff_ensemble_minus_solo,pr_auc_diff_ci_low,pr_auc_diff_ci_high,diff_crosses_zero
CADD (solo),cadd_phred,379,0.2149,0.935048424432579,0.9321848739495799,0.9041126613262973,0.9598971150066727,0.9855066575873047,0.9845098039215686,0.05045823315472575,0.025916270454154157,0.07878677855187385,False
"REVEL (solo, missense)",revel_score,252,0.1429,0.9181293067079715,0.9412399860675722,0.8698890365616275,0.9547760477176184,0.9696499554201031,0.9804946011842564,0.05152064871213158,0.02414195231941346,0.0865403100681659,False
"AlphaMissense (solo, missense)",alphamissense_score,254,0.144,0.909509878522478,0.9498781761225201,0.8522170949976261,0.9486091107360933,0.968107865107357,0.9802297250261051,0.058597986584879025,0.021872314200177025,0.10580624676355542,False
