precision,recall,threshold
0.013806706114398421,1.0,4.461997701637129e-07
0.013820335636722606,1.0,4.97697741192029e-07
0.01383399209486166,1.0,5.058266740144616e-07
0.013847675568743818,1.0,5.119851322229631e-07
0.013861386138613862,1.0,5.56325423415238e-07
0.013875123885034688,1.0,5.581739657948271e-07
0.013888888888888888,1.0,5.718293143991847e-07
0.013902681231380337,1.0,5.738388291000563e-07
0.013916500994035786,1.0,5.85183086262236e-07
0.013930348258706468,1.0,6.226733664562981e-07
0.013944223107569721,1.0,6.285291645569099e-07
0.013958125623130608,1.0,6.687346876985428e-07
0.013972055888223553,1.0,6.741773889775016e-07
0.013986013986013986,1.0,6.764838149648125e-07
0.014,1.0,6.774786367845555e-07
0.014014014014014014,1.0,6.898946566510728e-07
0.014028056112224449,1.0,7.031822609048649e-07
0.014042126379137413,1.0,7.072069779519154e-07
0.014056224899598393,1.0,7.15202494740979e-07
0.01407035175879397,1.0,7.298490935426294e-07
0.014084507042253521,1.0,7.532155419498478e-07
0.014098690835850957,1.0,7.561201053599536e-07
0.014112903225806451,1.0,7.622963302429546e-07
0.014127144298688193,1.0,7.639628578311799e-07
0.014141414141414142,1.0,7.655521269433956e-07
0.014155712841253791,1.0,7.823741920523579e-07
0.01417004048582996,1.0,7.840597182963483e-07
0.014184397163120567,1.0,7.890362668275662e-07
0.014198782961460446,1.0,8.081078915885206e-07
0.014213197969543147,1.0,8.201836866901344e-07
0.014227642276422764,1.0,8.237306751485985e-07
0.014242115971515769,1.0,8.472246209782655e-07
0.014256619144602852,1.0,8.590902369331106e-07
0.014271151885830785,1.0,8.717045374923364e-07
0.014285714285714285,1.0,8.816356672443117e-07
0.014300306435137897,1.0,8.824452716891589e-07
0.014314928425357873,1.0,8.835888229232609e-07
0.014329580348004094,1.0,9.059702977138376e-07
0.014344262295081968,1.0,9.063500495552466e-07
0.014358974358974359,1.0,9.094123460602036e-07
0.014373716632443531,1.0,9.188743903060328e-07
0.014388489208633094,1.0,9.209180140096675e-07
0.01440329218106996,1.0,9.220116178069586e-07
0.014418125643666324,1.0,9.428991298208237e-07
0.01443298969072165,1.0,9.497962907037252e-07
0.014447884416924664,1.0,9.54321694464368e-07
0.014462809917355372,1.0,9.641619370191016e-07
0.014477766287487074,1.0,9.64401990907041e-07
0.014492753623188406,1.0,9.665520013123714e-07
0.014507772020725389,1.0,9.85673740456741e-07
0.014522821576763486,1.0,9.970532903684764e-07
0.014537902388369679,1.0,1.0035325166685673e-06
0.014553014553014554,1.0,1.0062597414882679e-06
0.014568158168574402,1.0,1.0173755926831043e-06
0.014583333333333334,1.0,1.0209905908355777e-06
0.014598540145985401,1.0,1.0265340322103746e-06
0.014613778705636743,1.0,1.0361488737711187e-06
0.014629049111807733,1.0,1.0380279461312526e-06
0.014644351464435146,1.0,1.045464370653785e-06
0.014659685863874346,1.0,1.0482071715143248e-06
0.014675052410901468,1.0,1.0502941695594477e-06
0.014690451206715634,1.0,1.0587999202489172e-06
0.014705882352941176,1.0,1.0627259401994844e-06
0.014721345951629864,1.0,1.0667355612402211e-06
0.014736842105263158,1.0,1.0696974408901132e-06
0.014752370916754479,1.0,1.0806124306443166e-06
0.014767932489451477,1.0,1.0863623568951052e-06
0.014783526927138331,1.0,1.1269717129277603e-06
0.014799154334038054,1.0,1.1337229093482248e-06
0.014814814814814815,1.0,1.1349674155595436e-06
0.014830508474576272,1.0,1.1353255561674598e-06
0.014846235418875928,1.0,1.1447037109639283e-06
0.01487778958554729,1.0,1.149212928032992e-06
0.014893617021276596,1.0,1.1679927833205582e-06
0.014909478168264111,1.0,1.1724918889218764e-06
0.014925373134328358,1.0,1.1734979061455257e-06
0.014941302027748132,1.0,1.1756253364361108e-06
0.014957264957264958,1.0,1.181145994049543e-06
0.014973262032085561,1.0,1.181178115243557e-06
0.014989293361884369,1.0,1.1818896837918583e-06
0.015005359056806002,1.0,1.1989849256343554e-06
0.015021459227467811,1.0,1.2159292711873885e-06
0.015037593984962405,1.0,1.2229261607571907e-06
0.015053763440860216,1.0,1.2246246633754324e-06
0.015069967707212056,1.0,1.2284705747994015e-06
0.015086206896551725,1.0,1.2451133290529007e-06
0.015102481121898598,1.0,1.252711483516882e-06
0.01511879049676026,1.0,1.2684608245549603e-06
0.015135135135135135,1.0,1.2741512689656363e-06
0.015151515151515152,1.0,1.2820311632918444e-06
0.015167930660888408,1.0,1.2848071285287777e-06
0.015184381778741865,1.0,1.2952413277725542e-06
0.01520086862106406,1.0,1.3030169692554815e-06
0.015217391304347827,1.0,1.3206849007166028e-06
0.015233949945593036,1.0,1.3245895935943514e-06
0.015250544662309368,1.0,1.3248423274813084e-06
0.015267175572519083,1.0,1.3274363915885555e-06
0.015283842794759825,1.0,1.3488038414874302e-06
0.015300546448087432,1.0,1.356276065152037e-06
0.015317286652078774,1.0,1.3923817023372073e-06
